site,plot_id,plot,genet_id,T1_spring,T2_fall,change,status,action,split_fuse,include
Outlet,OT2,OT_4,88,50.37,39.74,-10.63,shrank,shrink,none,OK
Outlet,OT2,OT_4,93,85.49,75.45,-10.04,shrank,shrink,none,OK
Outlet,OT2,OT_4,105,58.79,53.05,-5.74,shrank,shrink,none,OK
Outlet,OT2,OT_4,108,47.2,43.62,-3.58,shrank,shrink,none,OK
Outlet,OT2,OT_4,116,80.69,74.29,-6.4,shrank,shrink,none,OK
Outlet,OT2,OT_4,122,71.58,56.87,-14.71,shrank,shrink,none,OK
Outlet,OT2,OT_4,124,147.86,121.3,-26.56,shrank,shrink,none,OK
Outlet,OT2,OT_4,126,58.63,47.4,-11.23,shrank,shrink,none,OK
Outlet,OT2,OT_4,127,31.14,23.26,-7.88,shrank,shrink,none,OK
Outlet,OT2,OT_4,136,49.9,38.26,-11.64,shrank,shrink,none,OK
Outlet,OT2,OT_4,138,138.38,127.42,-10.96,shrank,shrink,none,OK
Outlet,OT2,OT_4,141,135.08,125.39,-9.69,shrank,shrink,none,OK
Outlet,OT2,OT_4,145,82.18,66.39,-15.79,shrank,shrink,none,OK
Outlet,OT2,OT_4,158,106.25,28.41,-77.84,shrank,shrink,none,OK
Outlet,OT2,OT_4,176,111.37,80.08,-31.29,shrank,shrink,none,OK
Outlet,OT2,OT_4,178,60.34,32.04,-28.3,shrank,shrink,none,OK
Outlet,OT2,OT_4,179,74.84,69.16,-5.68,shrank,shrink,none,OK
Outlet,OT2,OT_4,192,49.61,46.42,-3.19,shrank,shrink,none,OK
Outlet,OT2,OT_4,198,70.33,49.99,-20.34,shrank,shrink,none,OK
Outlet,OT2,OT_4,200,51.02,41.92,-9.1,shrank,shrink,none,OK
Outlet,OT2,OT_4,203,71.84,51.92,-19.92,shrank,shrink,none,OK
Outlet,OT3,OT_3,1,50.28,57.02,6.74,grew,grow,none,OK
Outlet,OT3,OT_3,6,12.83,27.27,14.44,grew,grow,none,OK
Outlet,OT3,OT_3,8,70.9,75.81,4.91,grew,grow,none,OK
Outlet,OT3,OT_3,11,4.38,14.51,10.13,grew,grow,none,OK
Outlet,OT3,OT_3,12,8.96,15.38,6.42,grew,grow,none,OK
Outlet,OT3,OT_3,14,21.04,46.85,25.81,grew,grow,none,OK
Outlet,OT3,OT_3,15,8.44,15.14,6.7,grew,grow,none,OK
Outlet,OT3,OT_3,16,24.36,40.73,16.37,grew,grow,none,OK
Outlet,OT3,OT_3,17,44.67,57.28,12.61,grew,grow,none,OK
Outlet,OT3,OT_3,18,46.21,52.51,6.3,grew,grow,none,OK
Outlet,OT3,OT_3,19,9,14.3,5.3,grew,grow,none,OK
Outlet,OT3,OT_3,20,3.41,8.94,5.53,grew,grow,none,OK
Outlet,OT3,OT_3,21,12.21,24.99,12.78,grew,grow,none,OK
