site,plot_id,plot,genet_id,size,timepoint,change,status
Inlet,IT2,IT_3,22,21.98,spring_2022,NA,NA
Inlet,IT2,IT_3,23,7.16,spring_2022,NA,NA
Inlet,IT2,IT_3,25,5.55,spring_2022,NA,NA
Inlet,IT2,IT_3,28,29.87,spring_2022,NA,NA
Inlet,IT2,IT_3,31,45.64,spring_2022,NA,NA
Inlet,IT2,IT_3,37,42.46,spring_2022,NA,NA
Inlet,IT2,IT_3,38,14.41,spring_2022,NA,NA
Inlet,IT2,IT_3,40,31.48,spring_2022,NA,NA
Inlet,IT2,IT_3,44,20.08,spring_2022,NA,NA
Inlet,IT2,IT_3,46,4.15,spring_2022,NA,NA
Inlet,IT2,IT_3,49,88.18,spring_2022,NA,NA
Inlet,IT2,IT_3,50,5.73,spring_2022,NA,NA
Inlet,IT2,IT_3,53,59.47,spring_2022,NA,NA
Inlet,IT2,IT_3,54,35.51,spring_2022,NA,NA
Inlet,IT2,IT_3,56,14.94,spring_2022,NA,NA
Inlet,IT2,IT_3,57,21.18,spring_2022,NA,NA
Inlet,IT2,IT_3,60,29.15,spring_2022,NA,NA
Inlet,IT2,IT_3,61,109.57,spring_2022,NA,NA
Inlet,IT2,IT_3,63,85.52,spring_2022,NA,NA
Inlet,IT2,IT_3,70,41.78,spring_2022,NA,NA
Inlet,IT2,IT_3,71,3.08,spring_2022,NA,NA
Inlet,IT2,IT_3,72,7.46,spring_2022,NA,NA
Inlet,IT2,IT_3,73,22.92,spring_2022,NA,NA
Inlet,IT2,IT_3,74,16.41,spring_2022,NA,NA
Inlet,IT2,IT_3,75,9.13,spring_2022,NA,NA
Inlet,IT2,IT_3,76,10.69,spring_2022,NA,NA
Inlet,IT2,IT_3,77,33.33,spring_2022,NA,NA
Inlet,IT2,IT_3,79,27.36,spring_2022,NA,NA
Inlet,IT2,IT_3,80,25.1,spring_2022,NA,NA
Inlet,IT2,IT_3,85,241.74,spring_2022,NA,NA
Inlet,IT2,IT_3,86,37.52,spring_2022,NA,NA
Inlet,IT2,IT_3,88,147.13,spring_2022,NA,NA
Inlet,IT2,IT_3,91,8.73,spring_2022,NA,NA
Inlet,IT2,IT_3,93,19.68,spring_2022,NA,NA
Inlet,IT2,IT_3,94,18.24,spring_2022,NA,NA
Inlet,IT2,IT_3,102,34.77,spring_2022,NA,NA
Inlet,IT2,IT_3,104,43.25,spring_2022,NA,NA
Inlet,IT2,IT_3,105,8.07,spring_2022,NA,NA
Inlet,IT2,IT_3,107,147.73,spring_2022,NA,NA
Inlet,IT2,IT_3,111,16.67,spring_2022,NA,NA
Inlet,IT2,IT_3,113,14.8,spring_2022,NA,NA
Inlet,IT2,IT_3,115,60.42,spring_2022,NA,NA
Inlet,IT2,IT_3,116,7.9,spring_2022,NA,NA
Inlet,IT2,IT_3,117,18.42,spring_2022,NA,NA
Inlet,IT2,IT_3,120,16.77,spring_2022,NA,NA
Inlet,IT2,IT_3,121,8.55,spring_2022,NA,NA
Inlet,IT2,IT_3,124,16.11,spring_2022,NA,NA
Inlet,IT2,IT_3,127,101.19,spring_2022,NA,NA
Inlet,IT2,IT_3,130,5.89,spring_2022,NA,NA
Inlet,IT2,IT_3,134,4.92,spring_2022,NA,NA
Inlet,IT2,IT_3,137,11.38,spring_2022,NA,NA
Inlet,IT2,IT_3,139,65.93,spring_2022,NA,NA
Inlet,IT2,IT_3,142,8.24,spring_2022,NA,NA
Inlet,IT2,IT_3,143,10.38,spring_2022,NA,NA
Inlet,IT2,IT_3,144,61.53,spring_2022,NA,NA
Inlet,IT2,IT_3,145,4.17,spring_2022,NA,NA
Inlet,IT2,IT_3,146,9.96,spring_2022,NA,NA
Inlet,IT2,IT_3,147,2.93,spring_2022,NA,NA
Inlet,IT2,IT_3,148,16.5,spring_2022,NA,NA
Inlet,IT2,IT_3,149,2.41,spring_2022,NA,NA
Inlet,IT2,IT_3,153,57.34,spring_2022,NA,NA
Inlet,IT2,IT_3,154,26.74,spring_2022,NA,NA
Inlet,IT2,IT_3,155,65.18,spring_2022,NA,NA
Inlet,IT2,IT_3,157,51.23,spring_2022,NA,NA
Inlet,IT2,IT_3,158,3.25,spring_2022,NA,NA
Inlet,IT2,IT_3,159,5.78,spring_2022,NA,NA
Inlet,IT2,IT_3,160,11.34,spring_2022,NA,NA
Inlet,IT2,IT_3,161,5.17,spring_2022,NA,NA
Inlet,IT2,IT_3,162,4.73,spring_2022,NA,NA
Inlet,IT2,IT_3,163,0.84,spring_2022,NA,NA
Inlet,IT2,IT_3,164,3.77,spring_2022,NA,NA
Inlet,IT2,IT_3,166,1.96,spring_2022,NA,NA
Inlet,IT2,IT_3,167,1.47,spring_2022,NA,NA
Inlet,IT2,IT_3,168,27.81,spring_2022,NA,NA
Inlet,IT2,IT_3,169,2.44,spring_2022,NA,NA
Inlet,IT2,IT_3,170,2.1,spring_2022,NA,NA
Inlet,IT2,IT_3,171,12.14,spring_2022,NA,NA
Inlet,IT2,IT_3,172,2.86,spring_2022,NA,NA
Inlet,IT2,IT_3,78,6.01,spring_2022,NA,NA
Inlet,IT2,IT_3,78,6.01,spring_2022,NA,NA
Inlet,IT2,IT_3,97,12.87,spring_2022,NA,NA
Inlet,IT2,IT_3,97,12.87,spring_2022,NA,NA
Inlet,IT2,IT_3,100,104.4,spring_2022,NA,NA
Inlet,IT2,IT_3,100,104.4,spring_2022,NA,NA
Inlet,IT2,IT_3,165,1.81,spring_2022,NA,NA
Inlet,IT2,IT_3,165,1.81,spring_2022,NA,NA
Inlet,IT2,IT_3,30,43.36,spring_2022,NA,NA
Inlet,IT2,IT_3,36,6.9,spring_2022,NA,NA
Inlet,IT2,IT_3,42,112.77,spring_2022,NA,NA
Inlet,IT2,IT_3,48,9.59,spring_2022,NA,NA
Inlet,IT2,IT_3,62,130.99,spring_2022,NA,NA
Inlet,IT2,IT_3,67,12.65,spring_2022,NA,NA
Inlet,IT2,IT_3,81,39.66,spring_2022,NA,NA
Inlet,IT2,IT_3,84,163.17,spring_2022,NA,NA
Inlet,IT2,IT_3,92,121.21,spring_2022,NA,NA
Inlet,IT2,IT_3,95,147.77,spring_2022,NA,NA
Inlet,IT2,IT_3,98,31.81,spring_2022,NA,NA
Inlet,IT2,IT_3,112,34.57,spring_2022,NA,NA
Inlet,IT2,IT_3,128,16.24,spring_2022,NA,NA
Inlet,IT2,IT_3,129,12.43,spring_2022,NA,NA
Inlet,IT2,IT_3,6,116.99,spring_2022,NA,NA
Inlet,IT2,IT_3,13,27.71,spring_2022,NA,NA
Inlet,IT2,IT_3,18,2.17,spring_2022,NA,NA
Inlet,IT2,IT_3,27,23.15,spring_2022,NA,NA
Inlet,IT2,IT_3,41,48.49,spring_2022,NA,NA
Inlet,IT2,IT_3,45,107.2,spring_2022,NA,NA
Inlet,IT2,IT_3,47,78.55,spring_2022,NA,NA
Inlet,IT2,IT_3,51,62.29,spring_2022,NA,NA
Inlet,IT2,IT_3,59,6.64,spring_2022,NA,NA
Inlet,IT2,IT_3,64,116.16,spring_2022,NA,NA
Inlet,IT2,IT_3,66,136.75,spring_2022,NA,NA
Inlet,IT2,IT_3,82,57.88,spring_2022,NA,NA
Inlet,IT2,IT_3,87,51.28,spring_2022,NA,NA
Inlet,IT2,IT_3,96,39.36,spring_2022,NA,NA
Inlet,IT2,IT_3,99,40.64,spring_2022,NA,NA
Inlet,IT2,IT_3,101,32.07,spring_2022,NA,NA
Inlet,IT2,IT_3,109,114.24,spring_2022,NA,NA
Inlet,IT2,IT_3,110,47.14,spring_2022,NA,NA
Inlet,IT2,IT_3,114,65.58,spring_2022,NA,NA
Inlet,IT2,IT_3,118,44.45,spring_2022,NA,NA
Inlet,IT2,IT_3,122,27.29,spring_2022,NA,NA
Inlet,IT2,IT_3,123,49.69,spring_2022,NA,NA
Inlet,IT2,IT_3,125,97.38,spring_2022,NA,NA
Inlet,IT2,IT_3,133,20.92,spring_2022,NA,NA
Inlet,IT2,IT_3,136,7.34,spring_2022,NA,NA
Inlet,IT2,IT_3,141,62.19,spring_2022,NA,NA
Inlet,IT2,IT_3,156,121.13,spring_2022,NA,NA
