site,plot_id,plot,season,scale,rugosity
Outlet,OT2,OT_4,Spring,10cm,1.592994477
Outlet,OT2,OT_4,Spring,10cm,1.754637951
Outlet,OT2,OT_4,Spring,10cm,1.840188708
Outlet,OT2,OT_4,Spring,10cm,1.867934464
Outlet,OT2,OT_4,Spring,10cm,1.921441641
Outlet,OT2,OT_4,Spring,10cm,2.323687894
Outlet,OT3,OT_3,Fall,10cm,1.221944246
Outlet,OT3,OT_3,Fall,10cm,1.236495144
Outlet,OT3,OT_3,Fall,10cm,1.221699405
Outlet,OT3,OT_3,Fall,10cm,1.190295613
Outlet,OT3,OT_3,Fall,10cm,1.285730774
Outlet,OT3,OT_3,Fall,10cm,1.307660797
Outlet,OT3,OT_3,Fall,10cm,1.295720645
Outlet,OT3,OT_3,Fall,10cm,1.360521768
Outlet,OT3,OT_3,Fall,10cm,1.212233525
Outlet,OT3,OT_3,Fall,10cm,1.219456954
Outlet,OT3,OT_3,Fall,10cm,1.130415393
Outlet,OT3,OT_3,Fall,10cm,1.120709409
Outlet,OT3,OT_3,Fall,10cm,1.106203303
Outlet,OT3,OT_3,Fall,10cm,1.099997089
Outlet,OT3,OT_3,Fall,10cm,1.103010514
Outlet,OT3,OT_3,Fall,10cm,1.13927681
Outlet,OT3,OT_3,Fall,10cm,1.141398329
Outlet,OT3,OT_3,Fall,10cm,1.141310868
Outlet,OT3,OT_3,Fall,10cm,1.201657053
Outlet,OT3,OT_3,Fall,10cm,1.18587766
Outlet,OT3,OT_3,Fall,10cm,1.233872103
Outlet,OT3,OT_3,Fall,10cm,1.247196109
Outlet,OT3,OT_3,Fall,10cm,1.229671036
Outlet,OT3,OT_3,Fall,10cm,1.228967206
Outlet,OT3,OT_3,Fall,10cm,1.221711664
Outlet,OT3,OT_3,Fall,10cm,1.208018166
Outlet,OT3,OT_3,Fall,10cm,1.23394883
Outlet,OT3,OT_3,Fall,10cm,1.219797748
Outlet,OT3,OT_3,Fall,10cm,1.273284441
Outlet,OT3,OT_3,Fall,10cm,1.234713451
Outlet,OT3,OT_3,Fall,10cm,1.211901785
Outlet,OT3,OT_3,Fall,10cm,1.193527225
Outlet,OT3,OT_3,Fall,10cm,1.201386578
Outlet,OT3,OT_3,Fall,10cm,1.210710322
Outlet,OT3,OT_3,Fall,10cm,1.251874078
Outlet,OT3,OT_3,Fall,10cm,1.24275316
Outlet,OT3,OT_3,Fall,10cm,1.264504545
Outlet,OT3,OT_3,Fall,10cm,1.2439135
Outlet,OT3,OT_3,Fall,10cm,1.247856516
Outlet,OT3,OT_3,Fall,10cm,1.263824287
Outlet,OT3,OT_3,Fall,10cm,1.289437096
Outlet,OT3,OT_3,Fall,10cm,1.289180276
Outlet,OT3,OT_3,Fall,10cm,1.297871642
Outlet,OT3,OT_3,Fall,10cm,1.33473747
Outlet,OT3,OT_3,Fall,10cm,1.353707462
Outlet,OT3,OT_3,Fall,10cm,1.55712653
Outlet,OT3,OT_3,Fall,10cm,1.510736263
Outlet,OT3,OT_3,Fall,10cm,1.510179345
