day_night,DateTime,lux,PAR,site
night,2023-07-16 01:00:00 UTC,0,0,Outlet
night,2023-07-16 01:10:00 UTC,0,0,Outlet
night,2023-07-16 01:20:00 UTC,0,0,Outlet
night,2023-07-16 01:30:00 UTC,0,0,Outlet
night,2023-07-16 01:40:00 UTC,0,0,Outlet
night,2023-07-16 01:50:00 UTC,0,0,Outlet
night,2023-07-16 02:00:00 UTC,0,0,Outlet
night,2023-07-16 02:10:00 UTC,0,0,Outlet
night,2023-07-16 02:20:00 UTC,0,0,Outlet
night,2023-07-16 02:30:00 UTC,0,0,Outlet
night,2023-07-16 02:40:00 UTC,0,0,Outlet
night,2023-07-16 02:50:00 UTC,0,0,Outlet
night,2023-07-16 03:00:00 UTC,0,0,Outlet
night,2023-07-16 03:10:00 UTC,0,0,Outlet
night,2023-07-16 03:20:00 UTC,0,0,Outlet
night,2023-07-16 03:30:00 UTC,0,0,Outlet
night,2023-07-16 03:40:00 UTC,0,0,Outlet
night,2023-07-16 03:50:00 UTC,0,0,Outlet
night,2023-07-16 04:00:00 UTC,0,0,Outlet
night,2023-07-16 04:10:00 UTC,0,0,Outlet
night,2023-07-16 04:20:00 UTC,0,0,Outlet
night,2023-07-16 04:30:00 UTC,0,0,Outlet
night,2023-07-16 04:40:00 UTC,0,0,Outlet
night,2023-07-16 04:50:00 UTC,0,0,Outlet
night,2023-07-16 05:00:00 UTC,0,0,Outlet
night,2023-07-16 05:10:00 UTC,0,0,Outlet
night,2023-07-16 05:20:00 UTC,21.5,0.39775,Outlet
night,2023-07-16 05:30:00 UTC,118.4,2.1904,Outlet
night,2023-07-16 05:40:00 UTC,236.8,4.3808,Outlet
night,2023-07-16 05:50:00 UTC,409,7.5665,Outlet
day,2023-07-16 06:00:00 UTC,333.7,6.17345,Outlet
day,2023-07-16 06:10:00 UTC,247.6,4.5806,Outlet
day,2023-07-16 06:20:00 UTC,53.8,0.9953,Outlet
day,2023-07-16 06:30:00 UTC,75.3,1.39305,Outlet
day,2023-07-16 06:40:00 UTC,419.8,7.7663,Outlet
day,2023-07-16 06:50:00 UTC,559.7,10.35445,Outlet
day,2023-07-16 07:00:00 UTC,430.6,7.9661,Outlet
day,2023-07-16 07:10:00 UTC,290.6,5.3761,Outlet
day,2023-07-16 07:20:00 UTC,129.2,2.3902,Outlet
day,2023-07-16 07:30:00 UTC,96.9,1.79265,Outlet
day,2023-07-16 07:40:00 UTC,183,3.3855,Outlet
day,2023-07-16 07:50:00 UTC,193.8,3.5853,Outlet
day,2023-07-16 08:00:00 UTC,215.3,3.98305,Outlet
day,2023-07-16 08:10:00 UTC,613.5,11.34975,Outlet
day,2023-07-16 08:20:00 UTC,764.2,14.1377,Outlet
day,2023-07-16 08:30:00 UTC,1022.6,18.9181,Outlet
day,2023-07-16 08:40:00 UTC,1173.3,21.70605,Outlet
day,2023-07-16 08:50:00 UTC,990.3,18.32055,Outlet
day,2023-07-16 09:00:00 UTC,688.9,12.74465,Outlet
day,2023-07-16 09:10:00 UTC,764.2,14.1377,Outlet
day,2023-07-16 09:20:00 UTC,688.9,12.74465,Outlet
day,2023-07-16 09:30:00 UTC,635.1,11.74935,Outlet
day,2023-07-16 09:40:00 UTC,570.5,10.55425,Outlet
day,2023-07-16 09:50:00 UTC,387.5,7.16875,Outlet
day,2023-07-16 10:00:00 UTC,925.7,17.12545,Outlet
day,2023-07-16 10:10:00 UTC,398.3,7.36855,Outlet
day,2023-07-16 10:20:00 UTC,312.2,5.7757,Outlet
day,2023-07-16 10:30:00 UTC,430.6,7.9661,Outlet
day,2023-07-16 10:40:00 UTC,419.8,7.7663,Outlet
day,2023-07-16 10:50:00 UTC,462.9,8.56365,Outlet
day,2023-07-16 11:00:00 UTC,495.1,9.15935,Outlet
day,2023-07-16 11:10:00 UTC,409,7.5665,Outlet
day,2023-07-16 11:20:00 UTC,613.5,11.34975,Outlet
day,2023-07-16 11:30:00 UTC,656.6,12.1471,Outlet
day,2023-07-16 11:40:00 UTC,656.6,12.1471,Outlet
day,2023-07-16 11:50:00 UTC,602.8,11.1518,Outlet
day,2023-07-16 12:00:00 UTC,839.6,15.5326,Outlet
day,2023-07-16 12:10:00 UTC,1302.4,24.0944,Outlet
day,2023-07-16 12:20:00 UTC,1377.8,25.4893,Outlet
day,2023-07-16 12:30:00 UTC,2066.7,38.23395,Outlet
day,2023-07-16 12:40:00 UTC,2583.4,47.7929,Outlet
day,2023-07-16 12:50:00 UTC,2669.5,49.38575,Outlet
day,2023-07-16 13:00:00 UTC,3616.7,66.90895,Outlet
day,2023-07-16 13:10:00 UTC,3444.5,63.72325,Outlet
day,2023-07-16 13:20:00 UTC,3444.5,63.72325,Outlet
day,2023-07-16 13:30:00 UTC,3616.7,66.90895,Outlet
day,2023-07-16 13:40:00 UTC,3961.1,73.28035,Outlet
day,2023-07-16 13:50:00 UTC,3100,57.35,Outlet
day,2023-07-16 14:00:00 UTC,3100,57.35,Outlet
day,2023-07-16 14:10:00 UTC,3616.7,66.90895,Outlet
day,2023-07-16 14:20:00 UTC,3788.9,70.09465,Outlet
day,2023-07-16 14:30:00 UTC,4305.6,79.6536,Outlet
day,2023-07-16 14:40:00 UTC,4305.6,79.6536,Outlet
day,2023-07-16 14:50:00 UTC,3788.9,70.09465,Outlet
day,2023-07-16 15:00:00 UTC,3100,57.35,Outlet
day,2023-07-16 15:10:00 UTC,2755.6,50.9786,Outlet
day,2023-07-16 15:20:00 UTC,2927.8,54.1643,Outlet
day,2023-07-16 15:30:00 UTC,2411.1,44.60535,Outlet
day,2023-07-16 15:40:00 UTC,2238.9,41.41965,Outlet
day,2023-07-16 15:50:00 UTC,1894.5,35.04825,Outlet
day,2023-07-16 16:00:00 UTC,1722.2,31.8607,Outlet
day,2023-07-16 16:10:00 UTC,1463.9,27.08215,Outlet
day,2023-07-16 16:20:00 UTC,1377.8,25.4893,Outlet
day,2023-07-16 16:30:00 UTC,1011.8,18.7183,Outlet
day,2023-07-16 16:40:00 UTC,1184,21.904,Outlet
day,2023-07-16 16:50:00 UTC,667.4,12.3469,Outlet
day,2023-07-16 17:00:00 UTC,645.8,11.9473,Outlet
day,2023-07-16 17:10:00 UTC,656.6,12.1471,Outlet
day,2023-07-16 17:20:00 UTC,785.8,14.5373,Outlet
day,2023-07-16 17:30:00 UTC,1044.1,19.31585,Outlet
day,2023-07-16 17:40:00 UTC,850.4,15.7324,Outlet
day,2023-07-16 17:50:00 UTC,731.9,13.54015,Outlet
night,2023-07-16 18:00:00 UTC,570.5,10.55425,Outlet
night,2023-07-16 18:10:00 UTC,279.9,5.17815,Outlet
night,2023-07-16 18:20:00 UTC,161.5,2.98775,Outlet
night,2023-07-16 18:30:00 UTC,64.6,1.1951,Outlet
night,2023-07-16 18:40:00 UTC,10.8,0.1998,Outlet
night,2023-07-16 18:50:00 UTC,0,0,Outlet
night,2023-07-16 19:00:00 UTC,0,0,Outlet
night,2023-07-16 19:10:00 UTC,0,0,Outlet
night,2023-07-16 19:20:00 UTC,0,0,Outlet
night,2023-07-16 19:30:00 UTC,0,0,Outlet
