site,plot_id,plot,genet_id,bleach_cat
OT,OT3,OT_3,46,1
OT,OT3,OT_3,56,1
IT,IT1,IT_4,0,2
IT,IT1,IT_4,1,2
IT,IT1,IT_4,2,2
IT,IT1,IT_4,3,2
IT,IT1,IT_4,4,2
IT,IT1,IT_4,5,2
IT,IT1,IT_4,6,1
IT,IT1,IT_4,8,3
IT,IT1,IT_4,7,2
IT,IT2,IT_3,1,3
IT,IT2,IT_3,0,3
IT,IT2,IT_3,6,2
IT,IT2,IT_3,8,3
IT,IT2,IT_3,9,1
IT,IT2,IT_3,11,2
IT,IT2,IT_3,13,3
IT,IT2,IT_3,53,2
IT,IT2,IT_3,51,2
IT,IT2,IT_3,52,2
IT,IT2,IT_3,169,3
IT,IT2,IT_3,12,2
IT,IT2,IT_3,14,3
IT,IT2,IT_3,136,4
IT,IT2,IT_3,162,4
IT,IT2,IT_3,173,3
IT,IT2,IT_3,163,4
IT,IT2,IT_3,174,3
IT,IT2,IT_3,15,3
IT,IT2,IT_3,170,3
IT,IT2,IT_3,164,3
IT,IT2,IT_3,165,3
IT,IT2,IT_3,165,2
IT,IT2,IT_3,19,2
IT,IT2,IT_3,23,4
IT,IT2,IT_3,166,3
IT,IT2,IT_3,22,3
IT,IT2,IT_3,30,3
IT,IT2,IT_3,28,2
IT,IT2,IT_3,27,3
IT,IT2,IT_3,25,3
IT,IT2,IT_3,31,2
IT,IT2,IT_3,37,2
IT,IT2,IT_3,38,3
IT,IT2,IT_3,42,3
IT,IT2,IT_3,41,2
IT,IT2,IT_3,40,3
IT,IT2,IT_3,44,3
IT,IT2,IT_3,153,2
IT,IT2,IT_3,46,3
IT,IT2,IT_3,45,3
IT,IT2,IT_3,47,3
IT,IT2,IT_3,49,3
IT,IT2,IT_3,50,3
IT,IT2,IT_3,55,3
IT,IT2,IT_3,55,3
IT,IT2,IT_3,54,2
IT,IT2,IT_3,56,2
IT,IT2,IT_3,57,2
IT,IT2,IT_3,60,2
IT,IT2,IT_3,171,2
IT,IT2,IT_3,62,3
IT,IT2,IT_3,61,2
IT,IT2,IT_3,63,2
IT,IT2,IT_3,154,2
IT,IT2,IT_3,64,2
IT,IT2,IT_3,66,2
IT,IT2,IT_3,67,1
IT,IT2,IT_3,68,3
IT,IT2,IT_3,175,3
IT,IT2,IT_3,70,3
IT,IT2,IT_3,176,1
IT,IT2,IT_3,71,3
IT,IT2,IT_3,74,3
IT,IT2,IT_3,72,3
IT,IT2,IT_3,73,3
IT,IT2,IT_3,76,3
IT,IT2,IT_3,75,3
IT,IT2,IT_3,77,2
IT,IT2,IT_3,155,3
IT,IT2,IT_3,80,1
IT,IT2,IT_3,156,3
IT,IT2,IT_3,81,3
IT,IT2,IT_3,79,2
IT,IT2,IT_3,84,2
IT,IT2,IT_3,85,3
IT,IT2,IT_3,157,2
IT,IT2,IT_3,88,3
IT,IT2,IT_3,167,4
IT,IT2,IT_3,36,3
IT,IT2,IT_3,35,3
IT,IT2,IT_3,177,3
IT,IT2,IT_3,91,3
IT,IT2,IT_3,92,3
IT,IT2,IT_3,93,2
IT,IT2,IT_3,158,3
IT,IT2,IT_3,94,4
IT,IT2,IT_3,95,3
IT,IT2,IT_3,96,3
IT,IT2,IT_3,97,3
IT,IT2,IT_3,97,3
IT,IT2,IT_3,98,3
IT,IT2,IT_3,100,3
IT,IT2,IT_3,101,1
IT,IT2,IT_3,102,3
IT,IT2,IT_3,99,1
IT,IT2,IT_3,104,3
IT,IT2,IT_3,105,3
IT,IT2,IT_3,107,3
IT,IT2,IT_3,145,3
IT,IT2,IT_3,159,3
IT,IT2,IT_3,111,3
IT,IT2,IT_3,113,3
IT,IT2,IT_3,168,2
IT,IT2,IT_3,112,3
IT,IT2,IT_3,118,3
IT,IT2,IT_3,117,3
IT,IT2,IT_3,120,2
IT,IT2,IT_3,121,2
IT,IT2,IT_3,115,2
IT,IT2,IT_3,116,3
IT,IT2,IT_3,127,2
IT,IT2,IT_3,125,2
IT,IT2,IT_3,124,3
IT,IT2,IT_3,123,2
IT,IT2,IT_3,122,3
IT,IT2,IT_3,133,2
IT,IT2,IT_3,134,3
IT,IT2,IT_3,161,3
IT,IT2,IT_3,137,3
IT,IT2,IT_3,128,3
IT,IT2,IT_3,130,3
IT,IT2,IT_3,129,3
IT,IT2,IT_3,142,4
IT,IT2,IT_3,143,3
IT,IT2,IT_3,139,3
IT,IT2,IT_3,148,3
IT,IT2,IT_3,149,4
IT,IT2,IT_3,146,3
IT,IT2,IT_3,147,3
IT,IT2,IT_3,179,3
IT,IT2,IT_3,172,4
IT,IT2,IT_3,17,3
IT,IT2,IT_3,18,3
IT,IT2,IT_3,48,3
IT,IT2,IT_3,86,2
IT,IT2,IT_3,114,2
IT,IT2,IT_3,144,3
IT,IT2,IT_3,180,4
IT,IT2,IT_3,59,2
IT,IT2,IT_3,78,3
IT,IT2,IT_3,78,4
IT,IT2,IT_3,82,3
IT,IT2,IT_3,87,2
