date,site,month,year,season,MONTHID,TEMP_mean,TEMP_sd,TEMP_max,TEMP_min,day_range,MMM,hotspot,hotspot_above_1C,DHW_data
2022-05-02,OT,5,2022,spring,3,28.16579167,0.724690519,29.752,27.075,2.677,28.5874,-0.421608333,0,0
2022-05-03,HK,5,2022,spring,3,26.16793056,0.343072678,26.781,25.416,1.365,28.5874,-2.419469444,0,0
2022-05-03,HKS,5,2022,spring,3,25.80532639,0.591722079,26.585,24.351,2.234,28.5874,-2.782073611,0,0
2022-05-03,OT,5,2022,spring,3,27.52286111,0.606898381,28.754,26.585,2.169,28.5874,-1.064538889,0,0
2022-05-04,HK,5,2022,spring,3,26.84228472,0.13499918,26.977,26.39,0.587,28.5874,-1.745115278,0,0
2022-05-04,HKS,5,2022,spring,3,26.71398611,0.286565532,27.173,26.097,1.076,28.5874,-1.873413889,0,0
2022-05-04,OT,5,2022,spring,3,28.08613194,0.430927951,29.053,27.272,1.781,28.5874,-0.501268056,0,0
2022-05-05,HK,5,2022,spring,3,27.66559722,0.68762306,28.754,26.585,2.169,28.5874,-0.921802778,0,0
2022-05-05,HKS,5,2022,spring,3,27.82438194,0.792661111,29.152,26.683,2.469,28.5874,-0.763018056,0,0
2022-05-05,OT,5,2022,spring,3,28.54202778,0.550607191,29.752,27.272,2.48,28.5874,-0.045372222,0,0
2022-05-06,HK,5,2022,spring,3,28.00115278,0.252465751,28.555,27.567,0.988,28.5874,-0.586247222,0,0
2022-05-06,HKS,5,2022,spring,3,28.22361111,0.469878784,29.352,27.665,1.687,28.5874,-0.363788889,0,0
2022-05-07,HK,5,2022,spring,3,27.80727778,0.279043608,28.258,26.977,1.281,28.5874,-0.780122222,0,0
2022-05-07,HKS,5,2022,spring,3,27.93116667,0.475637077,28.953,27.37,1.583,28.5874,-0.656233333,0,0
2022-05-08,HK,5,2022,spring,3,27.33045833,0.189466933,27.665,26.879,0.786,28.5874,-1.256941667,0,0
2022-05-08,HKS,5,2022,spring,3,27.38329861,0.369570098,28.159,26.781,1.378,28.5874,-1.204101389,0,0
2022-05-09,HK,5,2022,spring,3,27.52185417,0.302050961,28.06,27.075,0.985,28.5874,-1.065545833,0,0
2022-05-09,HKS,5,2022,spring,3,27.62713889,0.507328236,28.754,26.781,1.973,28.5874,-0.960261111,0,0
2022-05-10,HK,5,2022,spring,3,27.29207639,0.172322112,27.567,26.879,0.688,28.5874,-1.295323611,0,0
2022-05-10,HKS,5,2022,spring,3,27.39315972,0.468138161,28.159,26.292,1.867,28.5874,-1.194240278,0,0
2022-05-11,HK,5,2022,spring,3,27.795125,0.336369778,28.258,27.272,0.986,28.5874,-0.792275,0,0
2022-05-11,HKS,5,2022,spring,3,27.95861806,0.463072817,28.953,27.173,1.78,28.5874,-0.628781944,0,0
2022-05-12,HK,5,2022,spring,3,27.732875,0.186812642,28.06,27.272,0.788,28.5874,-0.854525,0,0
2022-05-12,HKS,5,2022,spring,3,27.81397222,0.27544357,28.357,27.173,1.184,28.5874,-0.773427778,0,0
2022-05-12,IT,5,2022,spring,3,27.2475,0.609598813,28.159,25.61,2.549,28.5874,-1.3399,0,0
2022-05-12,OT,5,2022,spring,3,28.34461111,0.856822714,30.154,25.028,5.126,28.5874,-0.242788889,0,0
2022-05-13,HK,5,2022,spring,3,28.03533333,0.189931972,28.456,27.764,0.692,28.5874,-0.552066667,0,0
2022-05-13,HKS,5,2022,spring,3,28.12902778,0.309810814,28.754,27.665,1.089,28.5874,-0.458372222,0,0
2022-05-13,IT,5,2022,spring,3,27.01267361,0.951992609,28.06,23.869,4.191,28.5874,-1.574726389,0,0
2022-05-13,OT,5,2022,spring,3,27.95329167,0.996659567,29.452,25.028,4.424,28.5874,-0.634108333,0,0
2022-05-14,HK,5,2022,spring,3,27.93566667,0.094016737,28.06,27.764,0.296,28.5874,-0.651733333,0,0
2022-05-14,HKS,5,2022,spring,3,28.04077778,0.163980616,28.555,27.764,0.791,28.5874,-0.546622222,0,0
2022-05-14,IT,5,2022,spring,3,26.13830556,1.032947316,27.468,23.966,3.502,28.5874,-2.449094444,0,0
2022-05-14,OT,5,2022,spring,3,27.31701389,1.038736295,29.252,24.545,4.707,28.5874,-1.270386111,0,0
2022-05-15,HK,5,2022,spring,3,27.49111806,0.291008795,27.764,26.683,1.081,28.5874,-1.096281944,0,0
2022-05-15,HKS,5,2022,spring,3,27.35313889,0.541922163,27.862,26.097,1.765,28.5874,-1.234261111,0,0
2022-05-15,IT,5,2022,spring,3,27.02888194,0.642596138,28.258,25.708,2.55,28.5874,-1.558518056,0,0
2022-05-15,OT,5,2022,spring,3,28.017375,0.934322266,29.652,25.028,4.624,28.5874,-0.570025,0,0
2022-05-16,HK,5,2022,spring,3,26.4015,0.127352547,26.683,26.097,0.586,28.5874,-2.1859,0,0
2022-05-16,HKS,5,2022,spring,3,26.11959722,0.196592345,26.488,25.708,0.78,28.5874,-2.467802778,0,0
2022-05-16,IT,5,2022,spring,3,26.95420833,0.53931736,27.665,25.319,2.346,28.5874,-1.633191667,0,0
2022-05-16,OT,5,2022,spring,3,27.66366667,0.717601795,29.053,25.513,3.54,28.5874,-0.923733333,0,0
2022-05-17,HK,5,2022,spring,3,27.14675694,0.641451046,28.06,25.902,2.158,28.5874,-1.440643056,0,0
2022-05-17,HKS,5,2022,spring,3,27.24075,0.748721881,28.456,25.61,2.846,28.5874,-1.34665,0,0
2022-05-17,IT,5,2022,spring,3,26.87976389,0.785740023,28.159,24.835,3.324,28.5874,-1.707636111,0,0
2022-05-17,OT,5,2022,spring,3,27.56402778,1.079853946,29.252,23.388,5.864,28.5874,-1.023372222,0,0
2022-05-18,HK,5,2022,spring,3,26.69150694,0.28845923,27.173,25.902,1.271,28.5874,-1.895893056,0,0
2022-05-18,HKS,5,2022,spring,3,26.660375,0.324181721,27.468,25.902,1.566,28.5874,-1.927025,0,0
2022-05-18,IT,5,2022,spring,3,26.72565972,0.860725293,27.961,23.004,4.957,28.5874,-1.861740278,0,0
